decile,lo,hi,n,mean_pred,realized
1,0.0,0.1,4,0.0295227684711891,0.25
2,0.1,0.2,10,0.16439664988432162,0.3
3,0.2,0.30000000000000004,16,0.2518918016404526,0.3125
4,0.30000000000000004,0.4,14,0.3529372485775059,0.21428571428571427
5,0.4,0.5,24,0.4558986473246554,0.7083333333333334
6,0.5,0.6000000000000001,25,0.5499812159521563,0.48
7,0.6000000000000001,0.7000000000000001,26,0.6572000868658007,0.5384615384615384
8,0.7000000000000001,0.8,81,0.7585534306844004,0.7160493827160493
9,0.8,0.9,178,0.8608571657676872,0.8707865168539326
10,0.9,1.0,65,0.9448227346913255,0.8461538461538461
