feature,coef,stdev_raw,abs_coef
polymarket_implied_p_beat,0.9916630030052366,0.19696972055770393,0.9916630030052366
quarters_since_last_miss,0.6035933836732025,0.8548504142651103,0.6035933836732025
sector=TechServices,0.321781424916836,0.13408795031298995,0.321781424916836
sector=Staples,0.2780230946520778,0.16168011125333445,0.2780230946520778
surprise_stdev_8q,-0.25952875267644704,10.129958575427516,0.25952875267644704
sector=Consumer,-0.16817142782744776,0.15806189751202504,0.16817142782744776
sector=BigTech,-0.16271132414589612,0.14661169301237728,0.16271132414589612
sector=Other,-0.1601458865341581,0.40818346574220377,0.1601458865341581
lagged_beat_rate_8q,-0.15211589091653357,0.058411656881906006,0.15211589091653357
sector=Energy,0.08943949586888975,0.12962180246241967,0.08943949586888975
sector=Pharma,0.07937604058495057,0.11511134309541078,0.07937604058495057
sector=Industrials,0.07254129637603282,0.14661169301237728,0.07254129637603282
sector=AutoEV,0.06621303796473563,0.10425091187368284,0.06621303796473563
sector=Banks,-0.04572223113945174,0.16865735433291337,0.04572223113945174
sector_beat_rate_prior_8q,-0.03289172962756963,0.16779240851362806,0.03289172962756963
surprise_mean_8q,0.02037327331402529,5.1001243349872585,0.02037327331402529
sector=Semis,-0.018025903648796974,0.15806189751202504,0.018025903648796974
