,AutoEV,Banks,BigTech,Consumer,Energy,Industrials,Other,Pharma,Semis,Staples,TechServices
AutoEV,1.0,0.5,0.982,0.6186,0.9449,0.4799,-0.0609,0.9959,0.9762,-0.9996,
Banks,0.5,1.0,0.3273,-0.3712,0.7559,0.9997,0.834,0.5766,0.6758,-0.4768,
BigTech,0.982,0.3273,1.0,0.7559,0.866,0.3054,-0.2484,0.9608,0.9177,-0.9867,
Consumer,0.6186,-0.3712,0.7559,1.0,0.3273,-0.3925,-0.8219,0.5447,0.4336,-0.6393,
Energy,0.9449,0.7559,0.866,0.3273,1.0,0.7406,0.2692,0.9707,0.9934,-0.9359,
Industrials,0.4799,0.9997,0.3054,-0.3925,0.7406,1.0,0.8465,0.5575,0.6586,-0.4563,
Other,-0.0609,0.834,-0.2484,-0.8219,0.2692,0.8465,1.0,0.03,0.1569,0.0875,
Pharma,0.9959,0.5766,0.9608,0.5447,0.9707,0.5575,0.03,1.0,0.9919,-0.9931,
Semis,0.9762,0.6758,0.9177,0.4336,0.9934,0.6586,0.1569,0.9919,1.0,-0.9701,
Staples,-0.9996,-0.4768,-0.9867,-0.6393,-0.9359,-0.4563,0.0875,-0.9931,-0.9701,1.0,
TechServices,,,,,,,,,,,1.0
