strategy,condition_id,end_date,side,entry_price,stake,outcome_yes_won,pnl,window_d,vol,question
CR2,0xbccb2214a4ff3dcf8771db902a3098fcedebce1f8a699d8b2098d630618b1742,2025-04-18T12:00:00+00:00,NO,0.0375,250.0,0,9.740259740259734,6.499988425925926,45796.328595,Will the price of Ethereum be between $1300 and $1400 on Apr 18?
CR2,0x9df5d1cc26fc6d1e88ea2daf204f4a076368195a0dd6dc0ffa9b3317cd214811,2025-04-25T12:00:00+00:00,NO,0.019,250.0,0,4.8419979612640205,6.5,45749.960491,Will the price of Ethereum be less than $1300 on Apr 25?
CR2,0x3bfc7a450b6f8e1bc9ea8a896fd636cf0c632ede4d329c14998bf92a500cb846,2025-05-02T12:00:00+00:00,NO,0.0255,250.0,0,6.541816316059509,6.5,48106.498671,Will the price of Ethereum be less than $1500 on May 2?
CR2,0x1bd048df857bd05875799aff88b2bd1d3bfa37a2a43a8da75436e3ee424d18de,2025-05-30T12:00:00+00:00,NO,0.06,250.0,0,15.957446808510655,6.5,45584.932496,Will the price of Solana be greater than $200 on May 30?
CR2,0x21bdc19b28525d98572cde99018479202d5fbb81d40d308778fa455eb5500092,2025-06-13T16:00:00+00:00,NO,0.016,250.0,0,4.065040650406508,6.500011574074074,46834.80856,Will the price of Solana be less than $130 on June 13?
CR2,0x4548cde1dc216c3d3aa7c1cb1a0fe400c91aa9e9685a7664bf27f6b801a891a5,2025-07-09T16:00:00+00:00,NO,0.0225,250.0,0,5.754475703324799,7.500011574074074,46035.715625,Will the price of Ethereum be less than $2200 on July 9?
CR2,0xb92247c25f6d36496ff32f96f9a09903993776bb11660dea8758632370d9e5c2,2025-07-14T16:00:00+00:00,NO,0.008,250.0,0,2.0161290322580663,7.0,47719.614798,Will the price of Ethereum be less than $2400 on July 14?
CR2,0x410e0b155324669e4fa96879f4e5682bdd816a9b212a3ecf64252f0c0cc51516,2025-07-23T16:00:00+00:00,NO,0.045,250.0,0,11.780104712041897,6.500011574074074,45036.424207,Will the price of Ethereum be between $3300 and $3400 on July 23?
CR2,0x88e5209a2b19c4fc1ddf7c6949aeab96bb0aa8ff842c6c71edb61394470c5f87,2025-07-28T04:00:00+00:00,NO,0.0405,250.0,0,10.552371026576337,6.0,46641.538302,Will Ethereum reach $4200 July 21–27?
CR2,0x8d3f4016981f833ecc50e15bd5b10a5bb02cec9454be536d1650e7e77455b3af,2025-07-28T04:00:00+00:00,NO,0.069,250.0,0,18.528464017185804,6.0,49744.304245,Will Ethereum dip to $3300 July 21–27?
