strategy,condition_id,end_date,side,entry_price,stake,outcome_yes_won,pnl,event_id,sum_p,n_in_event
EC3,0xa0811c97f529d627b7774a5b188e605736b745a1f892c39e16c5a022fdb84b8b,2024-09-18T00:00:00+00:00,NO,0.9845,250.0,1,-250.0,::2024-09-18,1.9749999999999999,4
EC3,0x9d1f0296f3a016727193d2b45704e0debc3b8048fe0715f8bb1e91550d321872,2024-12-30T12:00:00+00:00,NO,0.9655,250.0,1,-250.0,::2024-12-30,2.008,16
EC3,0x050da4fea09cec3031752ec312689670e7a442b70fb86489cb929cffbd53b900,2025-04-30T12:00:00+00:00,YES,0.032,250.0,0,-250.0,::2025-04-30,0.23299999999999998,4
EC3,0xd93a765102baec5f5399b160a821ec455e7e0f2440be5e44add98ca0fc02e108,2025-05-13T12:00:00+00:00,NO,0.425,250.0,1,-250.0,::2025-05-13,1.4585000000000001,8
EC3,0xee3a389d0c1345900a200d0d11d241bd30bc05a6c761d69b741a967bf98830d2,2025-06-11T12:00:00+00:00,NO,0.785,250.0,0,912.7906976744188,::2025-06-11,2.8055000000000003,9
EC3,0x1ffce6a1a34fb4c009b4d40a85ab26d98428116fc23980dfa19d4fe00acb5fc1,2025-06-18T12:00:00+00:00,NO,0.46,250.0,1,-250.0,::2025-06-18,1.204,6
EC3,0xa9868cc96fc4f4a3754f1af1cd4210e7e43e8d3d8e75617dd1af1ca77b4e5e3b,2025-07-15T12:30:00+00:00,NO,0.72,250.0,1,-250.0,::2025-07-15,1.7859999999999996,9
EC3,0xe4ccb0393e7b8f07c822b143f572819035caa0b9404191a2bef15d436a9f2adf,2025-08-12T00:00:00+00:00,YES,0.0305,250.0,0,-250.0,::2025-08-12,0.5305,3
EC3,0x57ee125c6f5b57b1b0c537289443d791a604e2c9e8d2a7a37d626cb4118c92e4,2025-08-15T12:00:00+00:00,NO,0.975,250.0,1,-250.0,::2025-08-15,2.0315,12
EC3,0x618d591da9f0b8d217db5531604d70e48184e9c5497a53cf8bb3280352ecf499,2025-09-11T00:00:00+00:00,NO,0.52,250.0,0,270.83333333333337,::2025-09-11,2.07,12
EC3,0x9f41a3e4a2ef548cf207c22a48dbaf73e28dda5ec014c145217f428aaf3769e3,2025-09-17T12:00:00+00:00,NO,0.905,250.0,1,-250.0,::2025-09-17,2.389,5
EC3,0x53f82bd52566e30ae3f8131cb92095dd92ecdf2b0204af0edc226ee194e923fe,2025-10-29T12:00:00+00:00,NO,0.9825,250.0,1,-250.0,::2025-10-29,1.9055,4
EC3,0xcb111226a8271fed0c71bb5ec1bd67b2a4fd72f1eb08466e2180b9efa99d3f32,2025-12-10T00:00:00+00:00,NO,0.925,250.0,1,-250.0,::2025-12-10,1.9409999999999998,12
EC3,0x4deff5fedabb90e3fc589eda979c577023baeffdafd4b5fc0c535ccbb2be8326,2026-01-31T00:00:00+00:00,NO,0.63,250.0,0,425.6756756756757,::2026-01-31,1.0524999999999998,7
EC3,0x19a8808337553bef28bf5fef1367da1844021f7f7a2578d42ec4fc4ec65afd19,2026-02-11T00:00:00+00:00,YES,0.023,250.0,0,-250.0,::2026-02-11,0.35050000000000003,3
EC3,0x4fa4e985401716bd0464f7aa294b7cc74f21a45ada069899df534e03c4a36086,2026-02-28T00:00:00+00:00,NO,0.855,250.0,1,-250.0,::2026-02-28,1.1315,3
EC3,0x34ae6edef62d01800a54869009ccd6b9a1e08260a276e2e2348b630eaec7079e,2026-04-10T00:00:00+00:00,NO,0.988,250.0,1,-250.0,::2026-04-10,2.71,19
EC3,0xe6770972b8d072a4064980d7105180ed7977361c47570529fd582e6dd3041277,2026-04-30T00:00:00+00:00,NO,0.9405,250.0,1,-250.0,::2026-04-30,1.0534999999999999,5
