decile,n,mean_predicted,realized_beat_rate
0.0–0.1,2,0.0514209102831698,0.5
0.1–0.2,6,0.16149471785586125,0.5
0.2–0.3,18,0.25465645486033717,0.2222222222222222
0.3–0.4,13,0.34972677975692057,0.23076923076923078
0.4–0.5,18,0.463995182529917,0.4444444444444444
0.5–0.6,24,0.5442704199698696,0.5416666666666666
0.6–0.7,31,0.659819757998331,0.4838709677419355
0.7–0.8,82,0.7582499804316051,0.7195121951219512
0.8–0.9,196,0.8589115300706136,0.8673469387755102
0.9–1.0,53,0.9157657727332169,0.8867924528301887
