ticker,sector,end_date,pm_side,polymarket_implied_p_beat,outcome_beat,stock_return,pm_pnl,hedge_ratio,stock_pnl,pnl
GIS,Staples,2025-09-24 07:00:00+00:00,YES,0.9965,1,-0.005163782687772819,-0.37192674360261746,0.0,0.0,-0.37192674360261746
BLSH,Other,2025-09-24 20:00:00+00:00,YES,0.504,1,-0.09525874708755751,244.78174603174605,0.0,0.0,244.78174603174605
FDS,TechServices,2025-09-25 07:00:00+00:00,NO,0.005,0,-0.016777755113989018,0.006281407035153563,0.0,0.0,0.006281407035153563
FDX,Industrials,2025-09-25 16:00:00+00:00,YES,0.9955,1,0.028072321277288845,-0.11991461577095963,0.0,0.0,-0.11991461577095963
MU,Semis,2025-09-30 16:00:00+00:00,YES,0.9895,1,0.16837287684029198,1.4028549772612542,0.0,0.0,1.4028549772612542
MLKN,Other,2025-09-30 20:00:00+00:00,YES,0.995,1,-0.02224680765508484,0.006281407035153563,0.0,0.0,0.006281407035153563
ACN,TechServices,2025-10-02 11:00:00+00:00,YES,0.991,1,0.0047368208575619426,1.0204339051463074,0.0,0.0,1.0204339051463074
JBL,Other,2025-10-02 11:00:00+00:00,YES,0.985,1,-0.057386533547254905,2.5571065989847552,0.0,0.0,2.5571065989847552
KMX,Staples,2025-10-02 11:00:00+00:00,NO,0.011,0,0.03447516847051968,1.530586450960576,0.0,0.0,1.530586450960576
CNXC,Other,2025-10-02 20:00:00+00:00,NO,0.01,0,-0.006063185432304653,1.2752525252525415,0.0,0.0,1.2752525252525415
STZ,Other,2025-10-06 00:00:00+00:00,YES,0.705,1,-0.002633102301081231,103.35992907801419,0.0,0.0,103.35992907801419
PRGS,Other,2025-10-06 20:00:00+00:00,YES,0.989,1,-0.0049815800597330226,1.530586450960576,0.0,0.0,1.530586450960576
MKC,Other,2025-10-07 00:00:00+00:00,YES,0.74,1,-0.04498627563845974,86.58783783783782,0.0,0.0,86.58783783783782
AZZ,Other,2025-10-08 00:00:00+00:00,YES,0.87,0,-0.07031474715468769,-251.25,0.0,0.0,-251.25
RELL,Other,2025-10-08 00:00:00+00:00,YES,0.83,1,0.23670487041747834,49.95481927710846,0.0,0.0,49.95481927710846
RGP,Other,2025-10-08 00:00:00+00:00,YES,0.845,1,-0.04233875536680329,44.60798816568049,0.0,0.0,44.60798816568049
PEP,Staples,2025-10-09 00:00:00+00:00,YES,0.89,1,0.057050323784634684,29.648876404494402,0.0,0.0,29.648876404494402
DAL,Industrials,2025-10-09 00:00:00+00:00,YES,0.885,1,0.0038420458748545973,31.235875706214692,0.0,0.0,31.235875706214692
APLD,Other,2025-10-09 00:00:00+00:00,YES,0.83,1,0.28119113451725064,49.95481927710846,0.0,0.0,49.95481927710846
LEVI,Other,2025-10-09 00:00:00+00:00,YES,0.915,1,-0.12229043551942587,21.974043715846964,0.0,0.0,21.974043715846964
NEOG,Other,2025-10-09 00:00:00+00:00,NO,0.37,0,-0.003300326916726055,145.5753968253968,0.0,0.0,145.5753968253968
NRIX,Other,2025-10-09 00:00:00+00:00,YES,0.805,0,0.04051173878515111,-251.25,0.0,0.0,-251.25
BYRN,Other,2025-10-09 00:00:00+00:00,YES,0.81,1,0.16637168873522432,57.39197530864196,0.0,0.0,57.39197530864196
