condition_id,category,question,ticker_or_event,end_date,outcome_yes_won,entry_yes_price_3d,entry_yes_price_7d,entry_yes_price_1d,entry_yes_price_late,volume_num,trading_window_days,n_history_points,liquidity_tier
0x4d40e1d7849ae33e49a0fc4a18b45169e4456b684b0d584b4cc582a9fc4b7ac0,geopolitics,"Will Donald Trump be President of the USA on May 31, 2023?",will-donald-trump-be-president-of-the-usa-on-may-31-2023,2023-05-31 00:00:00+00:00,0,0.0035,0.0025,0.0005,0.0005,768347.26,127.49988425925926,234,>50K
0x88263253ded7e012b2d20f1df436ded2728b20e774f5cdd47201cf7cc208202b,geopolitics,"Will Donald Trump be President of the USA on July 31, 2023?",will-donald-trump-be-president-of-the-usa-on-july-31-2023,2023-07-31 00:00:00+00:00,0,0.0005,0.0015,0.0005,0.0005,352646.48,83.49993055555555,167,>50K
0x0f8087a333699c182f5cfb20fe7e59d08fd8405cf98b436cdc99c2dbdd3d412f,geopolitics,"Will Donald Trump be President of the USA on September 30, 2023?",will-donald-trump-be-president-of-the-usa-on-september-30-2023,2023-09-30 00:00:00+00:00,0,0.0015,0.0015,0.0015,0.002,1164870.51,200.49945601851852,390,>50K
0x7f4f3962471f14be7619652ce074f8ed07937f37aeb3427338c183fbfa0ae4f2,geopolitics,Will Zelensky visit Israel by Nov 10?,will-zelensky-visit-israel-by-nov-10,2023-11-10 00:00:00+00:00,0,0.53,,0.08,0.045,36877.65,7.0,15,15-50K
0x1f5e91cec5de2c58c8b51e5830819bbed6c0978dc05b964e4f432d7744977d2a,geopolitics,"Will Donald Trump be President of the USA on November 30, 2023?",will-donald-trump-be-president-of-the-usa-on-november-30-2023,2023-11-30 00:00:00+00:00,0,0.0005,0.0025,0.0005,0.0005,110640.79,126.0,253,>50K
0xac95a5009e493902628eaaa2138780fca5b5476825924ae7de023e8c65917662,econ,Will the Fed raise interest rates by 0 bps after its December meeting?,will-the-fed-raise-interest-rates-by-0-bps-after-its-december-meeting,2023-12-12 00:00:00+00:00,1,0.954,0.971,0.991,0.954,29458.06,50.5,102,15-50K
0x5d0c7869d6bbd5c926178c5ebb2c1ab1afa3e1b04bd036bcde5573481e3998c0,econ,Will the Fed raise interest rates by 25 bps after its December meeting?,will-the-fed-raise-interest-rates-by-25-bps-after-its-december-meeting,2023-12-13 00:00:00+00:00,0,0.0225,0.025,0.0225,0.4805,27152.23,50.5,102,15-50K
0xc43c18c012d96ec13a57971335cc675dcc3d918b4749f2cfcda3fff38665d62d,geopolitics,Iran in possession of nuclear weapons by EoY?,iran-in-possession-of-nuclear-weapons-by-eoy,2023-12-31 00:00:00+00:00,0,0.002,0.0235,0.031,0.031,17766.53,84.0,169,15-50K
0xaf1daf3e5e21921e55d318f06f98379a4ff0dae8e5e096c911a1eac1038a1a65,econ,Will the Fed raise rates again in 2023?,will-the-fed-raise-rates-again-in-2023,2023-12-31 00:00:00+00:00,0,0.002,0.005,0.0015,0.0015,96772.63,117.0,235,>50K
0xe3c42f6d6223c0355d7183ce2405e8b2e2456c536049ace975ec9f0622032a28,econ,Will the Fed cut rates in 2023?,will-the-fed-cut-rates-in-2023,2023-12-31 00:00:00+00:00,0,0.006,,0.006,0.006,272977.91,312.99980324074073,615,>50K
0x63cfffa8764426c9b2ffe4b521c9499b4e35c9fb53ff1be68c79dec2a016be2a,geopolitics,Taiwan Presidential Election: Will Ko Wen-je win?,taiwan-presidential-election-will-ko-wen-je-win,2024-01-13 00:00:00+00:00,0,0.31,0.185,0.215,0.18,1356952.12,45.5,92,>50K
0x4d4bef7b6c7a34109961c95fcba43ceafb38b66e86cc58ca21ca64ee2de3310d,geopolitics,Taiwan Presidential Election: Will Lai Ching-te win?,taiwan-presidential-election-will-lai-ching-te-win,2024-01-13 00:00:00+00:00,1,0.63,0.745,0.72,0.755,1809553.58,78.5,158,>50K
0x729832336b1344aab2531ba0bfb192a674fce114004eb020d5bc3cd9bfcb40d3,geopolitics,Will Ramaswamy place 2nd in the 2024 Iowa Caucus?,will-ramaswamy-place-2nd-in-the-2024-iowa-caucus,2024-01-15 00:00:00+00:00,0,0.065,,0.085,0.045,1717761.93,7.499988425925926,16,>50K
0x830fe8eb8ab09693af821fba6d1d2c5369a696715c029b978e06df41cc614390,geopolitics,Trump margin of victory in New Hampshire Primary >15%,trump-margin-of-victory-in-new-hampshire-primary-15,2024-01-22 00:00:00+00:00,0,0.41,,0.465,0.51,997617.26,7.5,16,>50K
0x9f48a05fb3f34c80866fc41729ec0b085dba86c944df2b0400b925c31e56e233,geopolitics,Will Donald Trump win the New Hampshire Republican Primary?,will-donald-trump-win-the-new-hampshire-republican-primary,2024-01-23 00:00:00+00:00,1,0.925,0.69,0.945,0.978,1385145.33,17.5,36,>50K
0x8b639969c9a41ab89381df2c6adf41ab4f5bb1faf272a9ac883117f635e21cf8,geopolitics,Will Nikki Haley win the New Hampshire Republican Primary?,will-nikki-haley-win-the-new-hampshire-republican-primary,2024-01-23 00:00:00+00:00,0,0.075,0.31,0.055,0.022,1305920.99,17.5,36,>50K
0x7176ea2c885ca312ef235ee387aa1268c93b2665174b8eb84e23cc2fb2405157,geopolitics,Finnish Presidential Election: Will Mika Aaltola win?,finnish-presidential-election-will-mika-aaltola-win,2024-01-26 00:00:00+00:00,0,0.0035,0.011,0.003,0.0005,12132.11,11.5,24,5-15K
0x0b7c6545b913133ccde713feb3599cae65325030bbe3e1bdf99943e5f5ef3464,econ,Will the Fed decrease interest rates by 25 bps after its January meeting?,will-the-fed-decrease-interest-rates-by-25-bps-after-its-january-meeting,2024-01-31 00:00:00+00:00,0,0.008,0.012,0.008,0.0075,58887.6,53.5,108,>50K
