condition_id,category,liquidity_tier,strategy,side,entry_price,stake,fee,outcome_yes_won,pnl
0x868395f961c26281e2ab9ad2dbcf72232ef9c5617c971ea85c294d7a8f3608df,earnings,<5K,S1,YES,0.01,50.0,1.0,0,-51.0
0x3a7bf042a63ad2ed6825ee9b06c8e3f62d65a227522cbf1a54b94a65d21bfb28,earnings,<5K,S1,NO,0.885,50.0,1.0,1,-51.0
0xff3db55dd6ad4dc3938876a6b18812b121556a314309a9e08c870f99f797818f,earnings,<5K,S1,NO,0.865,50.0,1.0,1,-51.0
0x8d3ca023239d93aad864f4b27e12818000b7b878bd5719e23345452108e2ecfd,earnings,<5K,S1,NO,0.9995,50.0,1.0,1,-51.0
0x5880d5ea3d38f4fc3dd68cbda0e82bf4fdd87240be6c823df98fadbbce097852,earnings,<5K,S1,NO,0.935,50.0,1.0,1,-51.0
0x615a2a38e8d86cf7cfae2613359f15201f8533506004415d27825de9d99923b3,earnings,<5K,S1,NO,0.86,50.0,1.0,0,306.1428571428571
0xe7c561000aec1ea32649c6ce22c5c87e0ec736ba0f72bf9cf582ec93de99ba30,earnings,<5K,S1,NO,0.975,50.0,1.0,1,-51.0
0xa932cf6f7a99d2ab04e0833ae79fdc848f9fd417a81e86d8c1aedb3f9b41ee7f,earnings,<5K,S1,NO,0.875,50.0,1.0,1,-51.0
0x055dda80d2596defe1bb72d34b291dbf618a7f99be1cda4a2393e9b200704ddc,earnings,<5K,S1,NO,0.895,50.0,1.0,1,-51.0
0x75817b7d53552b67005b06ef9a9377c602155242b2869324e3bd0eacdc92892d,earnings,<5K,S1,NO,0.935,50.0,1.0,1,-51.0
0x20cab10e9552a88c30a2c8eeadaf6e4c6b4f401e8bcbc1d572cf4cbb2218a269,earnings,<5K,S1,NO,0.865,50.0,1.0,1,-51.0
0x1a88907b82c96a145fcfae7b0248af8661118672a4a7a9d7e80284c8a1d533e8,earnings,<5K,S1,NO,0.89,50.0,1.0,1,-51.0
0x31451d5ec63c74a64a33eedd3e23a4f357aaaf7942c3a7a94046e40c7f4952ff,earnings,<5K,S1,NO,0.865,50.0,1.0,1,-51.0
0xb5a187313d629d6bde08aca6d0e7843e6c762e8e16d20a6b637156b5e8f288e9,earnings,<5K,S1,NO,0.915,50.0,1.0,1,-51.0
0xd86d2dbee5ec6000380bed001d85f159d73c56221e8c73a43248be1fd43c82cf,earnings,<5K,S1,NO,0.865,50.0,1.0,1,-51.0
0xbcb0f727bfabb7914ec5a1fbf543f4ad1a0baf49950ebb4547d4fbb62d35c1af,earnings,<5K,S1,NO,0.875,50.0,1.0,1,-51.0
0x3c5f263697f146a5a95fca192e4f4dbb17186cece93288ba0ebd7a2eebb15dcf,earnings,<5K,S1,NO,0.875,50.0,1.0,1,-51.0
0xb3f6990608a86c7dd8b2a6234af7c3f03354349f4d57b8e517e75727508b48a4,earnings,<5K,S1,NO,0.88,50.0,1.0,1,-51.0
0xc954e999dea5adfd38be130b4d95f9a05a682e15d6d18135baf439721b794660,earnings,<5K,S1,NO,0.895,50.0,1.0,1,-51.0
0x235ce53a39a8b1a938e895785371cec35d2a8efc1f86d947a89fc6768af28e63,earnings,<5K,S1,NO,0.87,50.0,1.0,0,333.6153846153846
0xaf42a8d372fdcc9803d424e216d793072b7fc33bc3325e7081cb5a9de81b25fa,earnings,<5K,S1,NO,0.885,50.0,1.0,1,-51.0
0x5df82da99ee50977056e0d4c1a13608cf9fbe091259037ba49aaf42a0e3fed46,earnings,<5K,S1,NO,0.94,50.0,1.0,1,-51.0
0xd9b6d1231ce6a119f239951ce51d1b2ace9176e5c0f46b81b08b21e4bb0002cc,earnings,<5K,S1,NO,0.9625,50.0,1.0,1,-51.0
0x4c65028ff841efda5a53f66258bdd4c8406e5cb2319639621935bd335cb89cde,earnings,<5K,S1,NO,0.91,50.0,1.0,1,-51.0
0xd7c275ba6e0ec876a20db252e1d9f41e164376835e3573e7965c09a257fcb4c0,earnings,<5K,S1,NO,0.91,50.0,1.0,1,-51.0
0x9dd4a37d1673e7b6ca87fa964179a7a3f8fff75ade389ac5ca266221dfa02a0c,earnings,<5K,S1,NO,0.885,50.0,1.0,1,-51.0
0x64fa42538ec262554829aabe0d037358b7bfa98d7770d2baf0ec34c275b535a9,earnings,<5K,S1,NO,0.855,50.0,1.0,1,-51.0
0x4a09076d4eca529052cdb86a4537dd95970d5c4c7062669c97b6438fcd99dde3,earnings,<5K,S1,NO,0.9695,50.0,1.0,1,-51.0
0x75d3c8452ecabc2dc2bd0acb86bb6d8fd6aedfc8a404c270e784406f566f0783,earnings,<5K,S1,NO,0.9095,50.0,1.0,1,-51.0
0x254db11701f2fc714dc60524076296bfabaae6b3c52da8c26e140a520020ec5f,earnings,<5K,S1,NO,0.92,50.0,1.0,1,-51.0
0x54b1721f66ca09f94b360b2747922612d2c5ca5b0d6c90d9fceac9546b744c20,earnings,<5K,S1,NO,0.91,50.0,1.0,1,-51.0
